,emotion,cos_sim,amt_dialog_id,amt_dialog,os_dialog_id,os_dialog
1,Acknowledging,0.9955,7876958,- Very interesting .,6840348,"- Interesting .
- Very interesting ."
2,Acknowledging,0.9902,6031016,"- That was nice .
- Uh ... Do you want to maybe go and hang out for a while ?",665571,"- ooh , that 's nice .
- That 's nice ."
3,Acknowledging,0.9896,4104068,- That was nice !,6068756,"- This is nice .
- It is nice ."
5,Acknowledging,0.9819,6203167,- That was amazing !,1479112,"- Oh , amazing !
- That is truly amazing ."
6,Acknowledging,0.9808,1515329,- You 're amazing .,6843394,"- You 're amazing ! He 's amazing !
- You are amazing !"
7,Acknowledging,0.9802,6489958,- This is very nice .,5607595,"- That 's nice . Very nice .
- Very , very nice ."
8,Acknowledging,0.9797,4104068,- That was nice !,665172,"- Well , that was nice .
- Yes , that was ... Quite nice ."
9,Acknowledging,0.979,6031016,"- That was nice .
- Uh ... Do you want to maybe go and hang out for a while ?",5861671,"- And its backless .
- Its good . Now thats nice .
- Its nice ."
10,Acknowledging,0.9782,6489958,- This is very nice .,8501208,"- Oh ! Very nice .
- Very nice ..."
11,Acknowledging,0.9774,6489958,- This is very nice .,4677966,"- It 's really cool here .
- Really nice ."
12,Acknowledging,0.977,7712099,- That 's really great !,5349811,"- Okay . It 's great .
- It 's great ?
- It 's great ."
13,Acknowledging,0.977,6031016,"- That was nice .
- Uh ... Do you want to maybe go and hang out for a while ?",765373,"- Okay . That was nice .
- Real nice ."
14,Acknowledging,0.9768,6489958,- This is very nice .,1258235,"- Ooh , it 's nice out here .
- This is really nice ."
15,Acknowledging,0.9756,6674215,- That 's beautiful !,6200363,"- It 's beautiful !
- It is very beautiful !"
16,Acknowledging,0.9751,6489958,- This is very nice .,1065151,"- This is nice . Isn 't this nice ?
- Very , very nice ."
17,Acknowledging,0.9751,7712099,- That 's really great !,8636030,"- This is so nice !
- It 's very nice !
- It 's great !"
18,Acknowledging,0.975,6489821,- Good job !,1688231,"- Good job , man .
- Good job ."
19,Acknowledging,0.9749,4104068,- That was nice !,927528,"- Oh , yeah , really nice .
- Ooh , it is so nice out .
- It is nice ."
20,Acknowledging,0.9745,4488660,"- Like this ?
- Yeah , that 's good .",7775425,"- Her back is killing her . What can I do ?
- Roll on your side . When the contractions start press down on her back to give relief .
- Like this ?
- Yeah . Good ."
21,Acknowledging,0.9737,7712099,- That 's really great !,3038154,"- You know what ? I think you parked too clo- You know , I think you parked too close to the other car . Had to . We gotta unload the furniture .
- Ready for your surprise ?
- Oh , that is great .
- That is so great ."
22,Acknowledging,0.9734,6674215,- That 's beautiful !,4038050,"- Wow , darling , it 's so elegant .
- It 's beautiful !"
23,Acknowledging,0.9725,6489958,- This is very nice .,393486,"- It 's pretty here .
- Quite nice ."
24,Acknowledging,0.9725,7712099,- That 's really great !,7319491,"- L love you so much .
- Well , I love you .
- Then why did you have to do this ?
- Everything was perfect . Why did you have to ruin it ?
- L didn 't mean to .
- L just thought- - l know ! And I do ! L do so much !
- Well , that 's great .
- That 's fantastic ."
25,Acknowledging,0.9722,6203167,- That was amazing !,4223692,"- Wow , that 's amazing .
- Really amazing"
26,Acknowledging,0.9722,6031016,"- That was nice .
- Uh ... Do you want to maybe go and hang out for a while ?",4929092,"- That 's not bitey ! That 's brilliant . There 's so much grip . That 's because underneath that Marvel Comics paint job , there 's a lightweight titanium exhaust , a race-tuned suspension , a whole new track-focused aero package ... and my favourite bit , rear-wheel steering .
- See it ? See it move ? Cool , right ? And that makes the GT R super agile in the slow corners , but super stable in the higher speed corners . And the suspension keeps the car so flat , you can really tell what the tyres are up to and know exactly how hard you can push it .
- Yeah ! That is nice .
- That 's real nice ."
27,Acknowledging,0.972,7719340,"- Well , you were pretty great .",1663690,"- You were so good . Really .
- Yeah ? You were really great ."
